product_id,product_name,category,price,stock,date_added
P001, Laptop ,Electronics,55000,10,2023-01-10
P002,Smartphone, electronics ,35000,15,2023-02-15
P003,Headphones,Electronics,,25,2023-03-05
P004,Office Chair,Furniture,8000,,2023-03-20
P005,Table,Furnitures,12000,5,2023-04-01
P006,Pen, Stationery ,50,100,2023-04-15
P007,Notebook,Stationery,,200,2023-05-10
P008,Water Bottle,Kitchen,250,50,2023-06-01
P009,Coffee Maker, kitchen appliances ,4500,20,2023-06-15
P010,Microwave Oven,Kitchen Appliances,8000,10,2023-07-01
P011, Sofa ,Furniture,30000,,2023-07-20
P012,Bed,Furniture,45000,2,2023-08-05
P013,Refrigerator,Electronics,55000,3,2023-08-20
P014,Blender,Kitchen Appliances,,8,2023-09-01
P015,Printer, electronics ,15000,4,2023-09-15
P016,Desk,Furniture,20000,1,2023-10-01
P017,Chair,Furnitures,7000,6,2023-10-15
P018,Marker, Stationery ,30,500,2023-11-01
P019,Notebook,Stationery,40,,2023-11-15
P020,Vacuum Cleaner, kitchen appliances ,9000,7,2023-12-01
